total_files,burst_files,total_size,burst_size,total_duration,burst_config_duration,burst_current_duration,burst_pause,burst_config_rate,burst_current_rate,algorithm
12,12,2120658,2120658,3184.501,0,10.005,0,0.0,665.931,AES-CTR
12,12,2126994,2126994,3194.520,0,10.018,0,0.0,665.826,AES-CTR
12,12,2133682,2133682,3204.547,0,10.025,0,0.0,665.830,AES-CTR
12,12,2140210,2140210,3214.563,0,10.012,0,0.0,665.786,AES-CTR
12,12,2146674,2146674,3224.591,0,10.027,0,0.0,665.720,AES-CTR
12,12,2153330,2153330,3234.603,0,10.010,0,0.0,665.717,AES-CTR
12,12,2164146,2164146,3244.620,0,10.015,0,0.0,666.995,AES-CTR
12,12,2171298,2171298,3254.632,0,10.011,0,0.0,667.141,AES-CTR
12,12,2179442,2179442,3264.651,0,10.018,0,0.0,667.588,AES-CTR
12,12,2185682,2185682,3274.659,0,10.006,0,0.0,667.453,AES-CTR
12,12,2192130,2192130,3284.663,0,10.002,0,0.0,667.383,AES-CTR
12,12,2198850,2198850,3294.695,0,10.029,0,0.0,667.391,AES-CTR
12,12,2205506,2205506,3304.744,0,10.046,0,0.0,667.376,AES-CTR
12,12,2212082,2212082,3314.748,0,10.001,0,0.0,667.346,AES-CTR
12,12,2218658,2218658,3324.751,0,10.002,0,0.0,667.316,AES-CTR
12,12,2225586,2225586,3334.763,0,10.010,0,0.0,667.390,AES-CTR
12,12,2232082,2232082,3344.787,0,10.022,0,0.0,667.332,AES-CTR
12,12,2238914,2238914,3354.807,0,10.017,0,0.0,667.375,AES-CTR
12,12,2245458,2245458,3364.816,0,10.007,0,0.0,667.335,AES-CTR
12,12,2252258,2252258,3374.820,0,10.003,0,0.0,667.371,AES-CTR
12,12,2258706,2258706,3384.823,0,10.002,0,0.0,667.304,AES-CTR
12,12,2265202,2265202,3394.830,0,10.005,0,0.0,667.251,AES-CTR
12,12,2269618,2269618,3404.855,0,10.024,0,0.0,666.583,AES-CTR
12,12,2269682,2269682,3417.688,0,12.832,0,0.0,664.099,AES-CTR
12,12,2269938,2269938,3427.727,0,10.037,0,0.0,662.228,AES-CTR
12,12,2274018,2274018,3437.735,0,10.007,0,0.0,661.487,AES-CTR
12,12,2280674,2280674,3447.767,0,10.031,0,0.0,661.493,AES-CTR
12,12,2287650,2287650,3457.806,0,10.038,0,0.0,661.590,AES-CTR
12,12,2293970,2293970,3467.822,0,10.014,0,0.0,661.502,AES-CTR
12,12,2300850,2300850,3477.829,0,10.000,0,0.0,661.576,AES-CTR
12,12,2307394,2307394,3487.869,0,10.038,0,0.0,661.548,AES-CTR
12,12,2314114,2314114,3497.880,0,10.009,0,0.0,661.576,AES-CTR
12,12,2320754,2320754,3507.903,0,10.022,0,0.0,661.579,AES-CTR
12,12,2327634,2327634,3517.951,0,10.046,0,0.0,661.645,AES-CTR
